01_Clase,02_Orden,03_Familia,04_Nombre científico I,05_Nombre científico II,06_Nombre vernáculo,07_CITES,08_Categoría amenaza nacional Res. 1912/2017,09_Endemismo,10_Migratoria,11_Introducida/Invasora,12_Distribución,Amagá,Amalfi,Andes,Angelópolis,Angostura,Anorí,Anzá,Armenia,Barbosa,Bello,Belmira,Betania,Betulia,Briceño,Buriticá,Cáceres,Caicedo,Caldas,Campamento,Caracolí,Caramanta,Carolina del Príncipe,Caucasia,Cisneros,Ciudad Bolívar,Concordia,Copacabana,Donmatías,Ebéjico,El Bagre,Entrerríos,Envigado,Fredonia,Girardota,Gómez Plata,Guadalupe,Heliconia,Hispania,Itagüí,Ituango,Jardín,Jericó,La Estrella,La Pintada,Liborina,Maceo,Medellín,Montebello,Nechí,Olaya,Pueblorrico,Puerto Berrío,Puerto Nare,Remedios,Sabanalarga,Sabaneta,Salgar,San Andrés de Cuerquia,San Jerónimo,San José de la Montaña,San Pedro de los Milagros,Santa Bárbara,Santa Fe de Antioquia,Santa Rosa de Osos,Segovia,Sopetrán,Támesis,Tarazá,Tarso,Titiribí,Toledo,Valdivia,Valparaíso,Vegachí,Venecia,Yalí,Yarumal,Yolombó,Yondó,Zaragoza
AVES,ANSERIFORMES,Anatidae,Anas clypeata,,Pato cucharo,,,,,,0-2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,ANSERIFORMES,Anatidae,Anas cyanoptera,,Pato colorado,,EN,,Migratoria,,0-1000,,,,,,,22,22,,,,,22,,,,,,,,,,,,,,,,22,,,,22,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,22,,,,,
AVES,ANSERIFORMES,Anatidae,Anas discors,,Pato careto,,,,Migratoria,,0-3600,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,ANSERIFORMES,Anatidae,Anas flavirostris,,Pato paramuno,,,,,,2600-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,ANSERIFORMES,Anatidae,Cairina moschata,,Pato real,,,,,,0-2600,,,,,,,22,22,,,,,22,,,,,,,,,,,,,,,,22,,,,22,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,22,,,,,
AVES,ANSERIFORMES,Anatidae,Dendrocygna autumnalis,Anas autumnalis,Pisingo común,III,,,,,0-2600,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,34,,,
AVES,ANSERIFORMES,Anatidae,Dendrocygna bicolor,Anas bicolor,Pisingo maría,III,,,,,0-2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,ANSERIFORMES,Anatidae,Dendrocygna viduata,,Pisingo careta,,,,,,0-2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,ANSERIFORMES,Anatidae,Merganetta armata,,Pato de los torrentes,,,,,,1500-3500,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,ANSERIFORMES,Anatidae,Nomonyx dominicus,,Pato encapuchado,,,,,,0-2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,ANSERIFORMES,Anatidae,Oxyura jamaicensis,,Pato andino,,EN,,Migratoria,,2500-4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,ANSERIFORMES,Anhimidae,Chauna chavaria,,Chavarría,,VU,REST,,,0-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,APODIFORMES,Apodidae,Chaetura brachyura,,Vencejo rabicorto,,,,,,0-800,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,APODIFORMES,Apodidae,Chaetura chapmani,,Vencejo de Chapman,,,,,,100-1600,,,,,,,22,22,,,,,22,,,,,,,,,,,,,,,,22,,,,22,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,32,,,,,22,,,,,,22,,,,,
AVES,APODIFORMES,Apodidae,Chaetura cinereiventris,,Vencejo ceniciento,,,,,,0-1800,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,
AVES,APODIFORMES,Apodidae,Chaetura meridionalis,,Vencejo sureño,,,,Migratoria,,0-1800,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,APODIFORMES,Apodidae,Chaetura pelagica,,Vencejo de chimenea,,,,Migratoria,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,APODIFORMES,Apodidae,Chaetura spinicaudus,Chaetura spinicauda,Vencejo lomiblanco,,,,,,0-1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,APODIFORMES,Apodidae,Cypseloides cryptus,,Vencejo barbiblanco,,,,,,300-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,APODIFORMES,Apodidae,Panyptila cayennensis,,Vencejo rabihorcado,,,,,,0-1400,,,,,,33,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,10,,,,,,10,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
AVES,APODIFORMES,Apodidae,Streptoprocne rutila,Cypseloides rutilus,Vencejo cuellirrojo,,,,,,800-3300,,,25,,,33,26,,,,,,,34,,,,,,,,13,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,26,,19,,,,,,,,,,,,34,,,
AVES,APODIFORMES,Apodidae,Streptoprocne zonaris,,Vencejo de collar,,,,,,0-3500,36,30; 44,25,8,,30; 33,22; 26,22,,8,,,22,18; 34,,,,36,,,38,13,,28,,,,42,22,,,,22,,,,,,,18; 35,25,9; 22; 27; 37,,37; 38,,10,8,,,,9; 11,10,,,,,11,,,,,,23; 26,32; 42,19; 30,,37,29; 31,9; 22; 37,36,,18,37; 38,,22; 36; 37,,34,,,30
AVES,APODIFORMES,Trochilidae,Adelomyia melanogenys,Trochilus melanogenys,Colibrí pechipunteado,II,,,,,1000-2500,,,25,,,,5,,,,,,,34,,,5,,,,,13,,,,,,,,,,,,,,,,,,,25,,,,,,8,,,,,,,,,,,,,,,,5,32,,,,,,,,,,,,,34,,,
AVES,APODIFORMES,Trochilidae,Aglaeactis cupripennis,Trochilus cupripennis,Colibrí paramuno,II,,,,,2900-3400,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
AVES,APODIFORMES,Trochilidae,Aglaiocercus coelestis,Cynanthus coelestis,Silfo violeta,II,,REST,,,300-2100,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,APODIFORMES,Trochilidae,Aglaiocercus kingii,Aglaiocercus kingi,Silfo coliverde,II,,,,,1400-3000,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
